common,spring,summer,winter
Chinook_Salmon,0.035663084,0.004669684,0.026788876
Coho_Salmon,0.022971409,0.003088297,0.039814532
Pink_Salmon,0.009533805,0.029375094,0.003042539
Sockeye_Salmon,0,0.001673176,0
Chum_Salmon,0,0,0.000898057
Steelhead,0.009709328,0.003481768,0.007708586
