"","season","50%","2.5%","97.5%","25%","75%","avg","ci_min","ci_max","ci_low","ci_high"
"1","Winter",3728.15347911303,2555.25172622895,5370.79595700421,3277.87705772332,4233.69490512557,3728.15347911303,2555.25172622895,5370.79595700421,3277.87705772332,4233.69490512557
"2","Spring",3389.05858886725,2260.22390496263,4896.77483536261,2946.21509738187,3869.17286234125,3389.05858886725,2260.22390496263,4896.77483536261,2946.21509738187,3869.17286234125
"3","Summer",1990.52451772231,1396.26596289964,2766.07446372372,1768.8217417137,2228.33348286934,1990.52451772231,1396.26596289964,2766.07446372372,1768.8217417137,2228.33348286934
