"","season","50%","2.5%","97.5%","25%","75%","avg","ci_min","ci_max","ci_low","ci_high"
"1","count_WinterTot",1373422.52872298,408277.418666945,6648401.41975694,883444.314838421,2210256.95524259,1373422.52872298,408277.418666945,6648401.41975694,883444.314838421,2210256.95524259
"2","count_SpringTot",996652.856120222,295934.684921793,4587441.01958435,648299.966724772,1600914.04963718,996652.856120222,295934.684921793,4587441.01958435,648299.966724772,1600914.04963718
"3","count_SummerTot",1585290.71130891,354665.128266847,8058866.73000569,953894.128558173,2693026.68053817,1585290.71130891,354665.128266847,8058866.73000569,953894.128558173,2693026.68053817
