"","season","50%","2.5%","97.5%","25%","75%","avg","ci_min","ci_max","ci_low","ci_high"
"1","overall_biomass_consumed",9199.77481078207,7306.27004348115,11461.8230803731,8486.34779830722,9928.32922399066,9199.77481078207,7306.27004348115,11461.8230803731,8486.34779830722,9928.32922399066
"2","Total_biomass_Chinook_summary",222.260218568666,151.879347274536,316.672665712857,195.465914222399,251.015226053058,222.260218568666,151.879347274536,316.672665712857,195.465914222399,251.015226053058
"3","Total_biomass_age0",103.920043298449,61.4437491989892,167.759999648079,86.4803789085092,127.675544858679,103.920043298449,61.4437491989892,167.759999648079,86.4803789085092,127.675544858679
"4","count_Tot",4641829.10608874,2001506.983493,13804368.075477,3444010.36592675,6472632.764075,4641829.10608874,2001506.983493,13804368.075477,3444010.36592675,6472632.764075
